plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,BudSet
ASC_01_MD_B,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Maryland,B,6,2,1,6,2,199
ASC_01_MD_C,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Maryland,C,3,64,5,3,8,217
ASC_01_NC_D,ASC_01,ASC,VT,Core,43.43787,72.45218,883,North_Carolina,D,2,14,1,2,14,197
ASC_01_VT_A,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Vermont,A,5,15,2,5,1,215
ASC_01_VT_B,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Vermont,B,6,57,5,6,1,271
ASC_01_VT_C,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Vermont,C,5,36,3,5,8,236
ASC_01_VT_D,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Vermont,D,2,69,5,2,13,222
ASC_01_VT_E,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Vermont,E,5,7,1,5,7,236
ASC_01_MD_D,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Maryland,D,5,43,4,5,1,202
ASC_01_MD_E,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Maryland,E,5,50,4,5,8,207
ASC_02_MD_D,ASC_02,ASC,VT,Core,43.43983,72.45328,847,Maryland,D,3,54,4,3,12,212
ASC_02_MD_E,ASC_02,ASC,VT,Core,43.43983,72.45328,847,Maryland,E,2,32,3,2,4,240
ASC_02_VT_A,ASC_02,ASC,VT,Core,43.43983,72.45328,847,Vermont,A,3,26,2,3,12,228
ASC_02_VT_C,ASC_02,ASC,VT,Core,43.43983,72.45328,847,Vermont,C,2,18,2,2,4,236
ASC_02_VT_D,ASC_02,ASC,VT,Core,43.43983,72.45328,847,Vermont,D,2,47,4,2,5,222
ASC_02_VT_E,ASC_02,ASC,VT,Core,43.43983,72.45328,847,Vermont,E,6,65,5,6,9,197
ASC_02_NC_A,ASC_02,ASC,VT,Core,43.43983,72.45328,847,North_Carolina,A,2,19,2,2,5,195
ASC_02_NC_C,ASC_02,ASC,VT,Core,43.43983,72.45328,847,North_Carolina,C,3,40,3,3,12,196
ASC_02_NC_E,ASC_02,ASC,VT,Core,43.43983,72.45328,847,North_Carolina,E,2,46,4,2,4,234
ASC_02_VT_B,ASC_02,ASC,VT,Core,43.43983,72.45328,847,Vermont,B,5,14,1,5,14,278
ASC_02_MD_A,ASC_02,ASC,VT,Core,43.43983,72.45328,847,Maryland,A,3,57,5,3,1,237
ASC_02_MD_B,ASC_02,ASC,VT,Core,43.43983,72.45328,847,Maryland,B,2,47,4,2,5,224
ASC_03_VT_C,ASC_03,ASC,VT,Core,43.44192,72.45589,861,Vermont,C,5,57,5,5,1,249
ASC_03_VT_D,ASC_03,ASC,VT,Core,43.44192,72.45589,861,Vermont,D,5,69,5,5,13,249
ASC_03_VT_E,ASC_03,ASC,VT,Core,43.44192,72.45589,861,Vermont,E,6,8,1,6,8,222
ASC_03_MD_A,ASC_03,ASC,VT,Core,43.44192,72.45589,861,Maryland,A,2,41,3,2,13,204
